,DATE,USERS_DOING_TRANSACTIONS,USERS_RECEIVING_TOKENS,MATIC_PRICE
136,2020-10-31 00:00:00.000,551,274,0.0138794026
137,2020-11-01 00:00:00.000,576,172,0.01398144607
138,2020-11-02 00:00:00.000,594,175,0.01395397292
139,2020-11-03 00:00:00.000,594,268,0.01306811125
140,2020-11-04 00:00:00.000,505,467,0.01228954216
141,2020-11-05 00:00:00.000,513,256,0.01269264717
142,2020-11-06 00:00:00.000,540,246,0.01476134
143,2020-11-07 00:00:00.000,499,206,0.01591098829
144,2020-11-08 00:00:00.000,655,328,0.01522529928
145,2020-11-09 00:00:00.000,693,385,0.0159076439
146,2020-11-10 00:00:00.000,618,350,0.01679573442
147,2020-11-11 00:00:00.000,578,244,0.01717955676
148,2020-11-12 00:00:00.000,508,244,0.01649614118
149,2020-11-13 00:00:00.000,572,234,0.01653964925
150,2020-11-14 00:00:00.000,500,184,0.01652179794
151,2020-11-15 00:00:00.000,488,187,0.01665739481
152,2020-11-16 00:00:00.000,523,226,0.0166004973
153,2020-11-17 00:00:00.000,495,240,0.01759015565
154,2020-11-18 00:00:00.000,460,261,0.01725583281
155,2020-11-19 00:00:00.000,649,362,0.0172776572
156,2020-11-20 00:00:00.000,547,243,0.01786558998
157,2020-11-21 00:00:00.000,479,219,0.01850610592
158,2020-11-22 00:00:00.000,510,193,0.01919540278
159,2020-11-23 00:00:00.000,570,257,0.02052771178
160,2020-11-24 00:00:00.000,511,224,0.02153035389
161,2020-11-25 00:00:00.000,574,259,0.02211997357
162,2020-11-26 00:00:00.000,497,198,0.01800273741
163,2020-11-27 00:00:00.000,497,170,0.0176974299
164,2020-11-28 00:00:00.000,495,153,0.01805575888
165,2020-11-29 00:00:00.000,532,177,0.0186751571
166,2020-11-30 00:00:00.000,545,203,0.01913666502
167,2020-12-01 00:00:00.000,561,167,0.0192071078
168,2020-12-02 00:00:00.000,540,245,0.01913941964
169,2020-12-03 00:00:00.000,581,200,0.01989596955
170,2020-12-04 00:00:00.000,544,231,0.02001184698
171,2020-12-05 00:00:00.000,492,192,0.01918546001
172,2020-12-06 00:00:00.000,609,193,0.01955277393
173,2020-12-07 00:00:00.000,652,275,0.0193560012
174,2020-12-08 00:00:00.000,579,289,0.01856766756
175,2020-12-09 00:00:00.000,564,264,0.01764239388
176,2020-12-10 00:00:00.000,463,217,0.01775758613
177,2020-12-11 00:00:00.000,502,216,0.01741851601
178,2020-12-12 00:00:00.000,464,205,0.01784448259
179,2020-12-13 00:00:00.000,442,254,0.01809808567
180,2020-12-14 00:00:00.000,507,300,0.01819467028
181,2020-12-15 00:00:00.000,589,470,0.0191650256
182,2020-12-16 00:00:00.000,542,321,0.01937433585
183,2020-12-17 00:00:00.000,538,375,0.01930137992
184,2020-12-18 00:00:00.000,711,487,0.01972871711
185,2020-12-19 00:00:00.000,687,477,0.02040411321
186,2020-12-20 00:00:00.000,706,419,0.01981048038
187,2020-12-21 00:00:00.000,576,358,0.01895692273
188,2020-12-22 00:00:00.000,659,358,0.01825254878
189,2020-12-23 00:00:00.000,644,298,0.01762268862
190,2020-12-24 00:00:00.000,519,270,0.01581557202
191,2020-12-25 00:00:00.000,436,236,0.01645060081
192,2020-12-26 00:00:00.000,512,292,0.01721139171
193,2020-12-27 00:00:00.000,587,316,0.01879840478
194,2020-12-28 00:00:00.000,610,239,0.01892658226
195,2020-12-29 00:00:00.000,563,212,0.01839626912
196,2020-12-30 00:00:00.000,468,205,0.01836627013
197,2020-12-31 00:00:00.000,517,338,0.0176243718
198,2021-01-01 00:00:00.000,564,226,0.01801326554
199,2021-01-02 00:00:00.000,498,251,0.01836127234
200,2021-01-03 00:00:00.000,533,215,0.01942421265
201,2021-01-04 00:00:00.000,488,199,0.02142990499
202,2021-01-05 00:00:00.000,535,491,0.02458679645
203,2021-01-06 00:00:00.000,586,335,0.02828660465
204,2021-01-07 00:00:00.000,581,301,0.03468544156
205,2021-01-08 00:00:00.000,531,277,0.03201111619
206,2021-01-09 00:00:00.000,559,386,0.03228637839
207,2021-01-10 00:00:00.000,537,314,0.03227127041
208,2021-01-11 00:00:00.000,485,265,0.02679809065
209,2021-01-12 00:00:00.000,667,364,0.02661694624
210,2021-01-13 00:00:00.000,598,385,0.02728752037
211,2021-01-14 00:00:00.000,654,415,0.03038821042
212,2021-01-15 00:00:00.000,572,314,0.03296913158
213,2021-01-16 00:00:00.000,744,338,0.03447534922
214,2021-01-17 00:00:00.000,771,348,0.03297635322
215,2021-01-18 00:00:00.000,849,474,0.0352960336
216,2021-01-19 00:00:00.000,826,540,0.0350694128
