,DATE,MARKET_CAP,MATIC_AVERAGE_PRICE,CIRCULATING_SUPPLY,HOLDERS
83,2020-10-04,56307223.3087761,0.01852713409,3039176110.36479,10387
84,2021-09-29,6092484388.97283,1.087534987,5602104262.87147,171628
85,2021-09-22,6407519209.3013,1.164424087,5502736742.61609,164819
86,2021-11-02,12075880544.3367,1.909900701,6322779261.04009,219910
87,2022-02-14,10517828607.8404,1.63576247,6429924149.63709,355125
88,2022-04-18,8865726610.28493,1.351334434,6560719822.91277,397277
89,2020-07-20,65318565.5329703,0.0218703839,2986621809.7848,6108
90,2020-11-09,61230467.520636,0.0159076439,3849122340.78817,13373
91,2020-11-28,70215850.1657061,0.01805575888,3888834063.64506,15541
92,2020-12-10,68420741.2061704,0.01775758613,3853042901.66358,15893
93,2021-05-06,4023404111.67815,0.7808908214,5152326037.97358,70222
94,2022-07-26,5247950563.65754,0.7527429207,6971770068.68434,448292
95,2021-11-06,12000253431.919,1.88002159,6383040224.09302,227296
96,2021-04-11,1727710504.09875,0.3603882825,4794025188.35024,53612
97,2021-06-04,8578533382.90337,1.667654296,5144071766.77671,71795
98,2021-10-11,7133147294.80688,1.264154861,5642621419.35687,185966
99,2022-04-08,9730809444.6438,1.494235467,6512232950.99207,392721
100,2020-08-21,79107003.3575921,0.02702910762,2926733819.0521,9579
101,2022-06-04,4005809881.0312,0.5918275666,6768542236.59133,421551
102,2021-03-14,1634843222.43968,0.3971967625,4115953041.17033,38027
103,2022-07-15,4950567738.71959,0.700386109,7068340841.39994,440438
104,2022-07-18,6239735032.87439,0.8823272046,7071905977.73603,443222
105,2021-09-27,6316542664.31929,1.126124097,5609099992.21989,169689
106,2020-06-08,66782338.9749473,0.0204338736,3268217288.48433,3361
107,2020-08-04,60076230.3502504,0.02061961875,2913547097.58097,7032
108,2020-10-25,52107974.4931151,0.01743944301,2987938001.33807,13019
109,2021-07-10,5477717656.27839,1.041258284,5260671380.86894,71996
110,2021-06-25,6158116084.39839,1.170595089,5260671380.86894,71996
111,2021-08-06,5574986535.97806,1.043891036,5340582823.80667,105836
112,2021-10-08,7602159892.65762,1.34875395,5636431978.8802,182820
113,2021-11-07,12063503227.4184,1.889761075,6383612927.04756,229068
114,2022-01-08,13166950959.9511,2.062421661,6384218712.06058,326100
115,2022-03-05,9532374950.30543,1.488553392,6403784375.29958,376964
116,2022-05-17,4822064477.09129,0.7071999787,6818530291.8321,416086
117,2022-06-15,2796414504.21248,0.3962380998,7057409435.05628,427782
118,2020-12-20,75158857.2175748,0.01981048038,3793893725.89991,15983
119,2021-02-22,678913924.660933,0.1541438583,4404417614.58723,24928
120,2020-07-09,65585374.4721048,0.02096638844,3128119783.7689,5243
121,2021-05-24,7349199972.18208,1.428673686,5144071766.77671,71795
122,2021-09-17,7530522248.47306,1.368169524,5504085654.95798,160031
123,2021-12-04,12731164160.9842,1.955625421,6510021817.79936,275947
124,2022-03-07,9125730677.42016,1.427501993,6392797152.76789,377062
125,2022-04-17,9033189502.59623,1.376859513,6560719822.91277,397277
126,2020-08-09,68065873.6514652,0.02293528659,2967735911.17988,7356
127,2020-08-10,68134503.1306134,0.02291731579,2973057741.56931,7413
128,2020-12-03,76858313.3515313,0.01989596955,3863009196.07357,15885
129,2020-12-24,59507465.118289,0.01581557202,3762586964.84058,16345
130,2022-01-03,15899204459.7797,2.476860392,6419095928.73934,315208
131,2022-06-30,3233386939.48365,0.4563817068,7084830288.17006,432786
132,2021-02-03,171874909.620824,0.04123096565,4168588023.56563,20768
133,2020-07-26,62221003.3372306,0.02088514538,2979198957.05789,6530
134,2020-05-07,56571655.8968066,0.01737884169,3255202901.33612,2981
135,2021-05-29,8960121136.57289,1.741834396,5144071766.77671,71795
136,2021-07-12,5309853924.05732,1.022697108,5192010305.22305,72003
137,2021-08-11,6916369867.85468,1.294046472,5344761581.22864,112860
138,2022-01-24,9455933153.78379,1.451168987,6516079957.65443,329030
139,2022-03-27,10496933627.4262,1.633644334,6425470592.10089,384196
140,2022-05-01,7079549398.68948,1.08193362,6543423059.41058,403928
141,2022-06-25,4284654330.59252,0.5976486923,7169185485.5956,430823
142,2022-07-02,3315621595.87222,0.4679888524,7084830288.17006,432786
143,2020-11-11,65740966.4132189,0.01717955676,3826697471.93539,13606
144,2021-04-30,4556534599.64448,0.8670745346,5255066799.45985,65718
145,2022-08-05,6347532489.22247,0.9081340836,6989642392.82823,445681
146,2022-01-28,10741200594.0406,1.638350362,6556107192.46018,334791
147,2021-04-18,1767438855.29451,0.3636333399,4860497268.18188,57537
148,2021-06-18,7426567892.1121,1.429436838,5195450188.8137,71899
149,2022-02-10,12705076308.2999,1.973691166,6437215977.53231,350524
150,2022-02-17,11375201519.0879,1.770243936,6425781944.54964,359084
151,2020-08-20,75820572.4047224,0.02594630555,2922210726.87076,9508
152,2022-07-09,4226614936.75105,0.5942754995,7112214688.49384,436032
153,2020-12-19,77597373.9333674,0.02040411321,3803026044.07136,15873
154,2021-01-24,144292491.374045,0.03426295781,4211326184.52827,19814
155,2021-03-02,931725471.888672,0.2309537144,4034251946.02163,29570
156,2021-04-20,1601415396.13036,0.3280398068,4881771550.4254,58577
157,2020-11-06,56848817.6729083,0.01476134,3851196277.24649,13258
158,2021-06-08,7417085761.58238,1.441870584,5144071766.77672,71795
159,2021-07-08,5714355241.82289,1.086240677,5260671380.86894,71996
