,NEW_ADDRESS,MIN_DATE,CUMULATIVE_ADDRESS
323,5149,2021-05-21,301375
324,3316,2021-05-22,304691
325,2587,2021-05-23,307278
326,3907,2021-05-24,311185
327,5187,2021-05-25,316372
328,5123,2021-05-26,321495
329,8152,2021-05-27,329647
330,6223,2021-05-28,335870
331,4544,2021-05-29,340414
332,4760,2021-05-30,345174
333,5286,2021-05-31,350460
334,8076,2021-06-01,358536
335,25839,2021-06-02,384375
336,10722,2021-06-03,395097
337,7900,2021-06-04,402997
338,9548,2021-06-05,412545
339,6985,2021-06-06,419530
340,17470,2021-06-07,437000
341,9734,2021-06-08,446734
342,9931,2021-06-09,456665
343,14558,2021-06-10,471223
344,17499,2021-06-11,488722
345,9805,2021-06-12,498527
346,8743,2021-06-13,507270
347,18784,2021-06-14,526054
348,27747,2021-06-15,553801
349,26836,2021-06-16,580637
350,13359,2021-06-17,593996
351,8585,2021-06-18,602581
352,6212,2021-06-19,608793
353,6628,2021-06-20,615421
354,7861,2021-06-21,623282
355,6575,2021-06-22,629857
356,6908,2021-06-23,636765
357,5582,2021-06-24,642347
358,6475,2021-06-25,648822
359,4135,2021-06-26,652957
360,10905,2021-06-27,663862
361,6342,2021-06-28,670204
362,6737,2021-06-29,676941
363,8150,2021-06-30,685091
364,8897,2021-07-01,693988
365,7407,2021-07-02,701395
366,9962,2021-07-03,711357
367,9215,2021-07-04,720572
368,7665,2021-07-05,728237
369,16414,2021-07-06,744651
370,9700,2021-07-07,754351
371,4938,2021-07-08,759289
372,8378,2021-07-09,767667
373,8705,2021-07-10,776372
374,4678,2021-07-11,781050
375,5231,2021-07-12,786281
376,5653,2021-07-13,791934
377,5674,2021-07-14,797608
378,6213,2021-07-15,803821
379,8290,2021-07-16,812111
380,8142,2021-07-17,820253
381,8890,2021-07-18,829143
382,9706,2021-07-19,838849
383,7043,2021-07-20,845892
384,13858,2021-07-21,859750
385,21395,2021-07-22,881145
386,14036,2021-07-23,895181
387,7777,2021-07-24,902958
388,6701,2021-07-25,909659
389,6173,2021-07-26,915832
390,7806,2021-07-27,923638
391,23454,2021-07-28,947092
392,49499,2021-07-29,996591
393,22091,2021-07-30,1018682
394,32157,2021-07-31,1050839
395,74129,2021-08-01,1124968
396,29143,2021-08-02,1154111
397,45061,2021-08-03,1199172
398,47641,2021-08-04,1246813
399,27425,2021-08-05,1274238
400,24850,2021-08-06,1299088
401,26785,2021-08-07,1325873
402,51288,2021-08-08,1377161
403,28929,2021-08-09,1406090
404,24227,2021-08-10,1430317
405,19980,2021-08-11,1450297
406,19236,2021-08-12,1469533
407,22981,2021-08-13,1492514
408,15460,2021-08-14,1507974
409,17957,2021-08-15,1525931
410,20747,2021-08-16,1546678
411,19461,2021-08-17,1566139
412,21401,2021-08-18,1587540
413,20590,2021-08-19,1608130
414,20510,2021-08-20,1628640
415,22795,2021-08-21,1651435
416,26374,2021-08-22,1677809
417,26360,2021-08-23,1704169
418,13609,2021-08-24,1717778
419,12629,2021-08-25,1730407
420,15074,2021-08-26,1745481
421,16981,2021-08-27,1762462
422,19491,2021-08-28,1781953
423,18058,2021-08-29,1800011
424,20123,2021-08-30,1820134
425,23574,2021-08-31,1843708
426,24633,2021-09-01,1868341
427,35743,2021-09-02,1904084
428,39106,2021-09-03,1943190
429,27973,2021-09-04,1971163
430,24196,2021-09-05,1995359
431,25468,2021-09-06,2020827
432,23530,2021-09-07,2044357
433,26448,2021-09-08,2070805
434,27223,2021-09-09,2098028
435,32318,2021-09-10,2130346
436,34749,2021-09-11,2165095
437,27892,2021-09-12,2192987
438,29210,2021-09-13,2222197
439,52601,2021-09-14,2274798
440,55892,2021-09-15,2330690
441,20780,2021-09-16,2351470
442,25472,2021-09-17,2376942
443,20169,2021-09-18,2397111
444,20503,2021-09-19,2417614
445,18781,2021-09-20,2436395
446,25958,2021-09-21,2462353
447,37811,2021-09-22,2500164
448,61135,2021-09-23,2561299
449,58919,2021-09-24,2620218
450,55330,2021-09-25,2675548
451,103193,2021-09-26,2778741
452,59071,2021-09-27,2837812
453,73073,2021-09-28,2910885
454,67483,2021-09-29,2978368
455,96651,2021-09-30,3075019
456,94949,2021-10-01,3169968
457,120194,2021-10-02,3290162
458,94014,2021-10-03,3384176
459,38889,2021-10-04,3423065
460,47975,2021-10-05,3471040
461,36157,2021-10-06,3507197
462,28787,2021-10-07,3535984
463,38397,2021-10-08,3574381
464,27542,2021-10-09,3601923
465,39920,2021-10-10,3641843
466,25305,2021-10-11,3667148
467,29922,2021-10-12,3697070
468,41807,2021-10-13,3738877
469,38174,2021-10-14,3777051
470,32182,2021-10-15,3809233
471,52521,2021-10-16,3861754
472,50539,2021-10-17,3912293
473,40242,2021-10-18,3952535
474,38916,2021-10-19,3991451
475,37020,2021-10-20,4028471
476,39921,2021-10-21,4068392
477,53036,2021-10-22,4121428
478,52005,2021-10-23,4173433
479,53312,2021-10-24,4226745
480,27745,2021-10-25,4254490
481,42090,2021-10-26,4296580
482,32405,2021-10-27,4328985
483,35168,2021-10-28,4364153
484,35170,2021-10-29,4399323
485,26823,2021-10-30,4426146
486,26453,2021-10-31,4452599
487,40486,2021-11-01,4493085
488,57968,2021-11-02,4551053
489,47573,2021-11-03,4598626
490,53939,2021-11-04,4652565
491,46089,2021-11-05,4698654
492,44711,2021-11-06,4743365
493,45884,2021-11-07,4789249
494,145252,2021-11-08,4934501
495,61614,2021-11-09,4996115
496,63472,2021-11-10,5059587
497,56533,2021-11-11,5116120
498,55612,2021-11-12,5171732
499,49114,2021-11-13,5220846
500,49267,2021-11-14,5270113
501,40778,2021-11-15,5310891
502,34400,2021-11-16,5345291
503,39079,2021-11-17,5384370
504,37338,2021-11-18,5421708
505,49810,2021-11-19,5471518
506,42814,2021-11-20,5514332
507,48147,2021-11-21,5562479
508,39765,2021-11-22,5602244
509,39699,2021-11-23,5641943
510,49913,2021-11-24,5691856
511,55239,2021-11-25,5747095
512,36059,2021-11-26,5783154
513,27886,2021-11-27,5811040
514,26811,2021-11-28,5837851
515,32795,2021-11-29,5870646
516,28641,2021-11-30,5899287
517,36174,2021-12-01,5935461
518,106415,2021-12-02,6041876
519,35184,2021-12-03,6077060
520,26598,2021-12-04,6103658
521,28514,2021-12-05,6132172
522,24803,2021-12-06,6156975
523,41146,2021-12-07,6198121
524,42175,2021-12-08,6240296
525,42531,2021-12-09,6282827
526,40537,2021-12-10,6323364
527,53280,2021-12-11,6376644
528,41441,2021-12-12,6418085
529,44349,2021-12-13,6462434
530,50223,2021-12-14,6512657
531,49848,2021-12-15,6562505
532,44430,2021-12-16,6606935
533,36584,2021-12-17,6643519
534,55128,2021-12-18,6698647
535,37743,2021-12-19,6736390
536,42342,2021-12-20,6778732
537,33783,2021-12-21,6812515
538,39780,2021-12-22,6852295
539,31863,2021-12-23,6884158
540,28719,2021-12-24,6912877
541,28492,2021-12-25,6941369
542,37104,2021-12-26,6978473
543,38665,2021-12-27,7017138
544,42634,2021-12-28,7059772
545,48412,2021-12-29,7108184
546,40388,2021-12-30,7148572
547,58780,2021-12-31,7207352
548,41398,2022-01-01,7248750
549,80367,2022-01-02,7329117
550,125896,2022-01-03,7455013
551,118334,2022-01-04,7573347
552,62510,2022-01-05,7635857
553,42846,2022-01-06,7678703
554,33792,2022-01-07,7712495
555,43976,2022-01-08,7756471
556,51673,2022-01-09,7808144
557,63162,2022-01-10,7871306
558,24150,2022-01-11,7895456
559,29464,2022-01-12,7924920
560,33895,2022-01-13,7958815
561,40744,2022-01-14,7999559
562,45643,2022-01-15,8045202
563,54389,2022-01-16,8099591
564,29773,2022-01-17,8129364
565,23103,2022-01-18,8152467
566,20066,2022-01-19,8172533
567,19924,2022-01-20,8192457
568,20509,2022-01-21,8212966
569,19127,2022-01-22,8232093
570,24749,2022-01-23,8256842
571,21583,2022-01-24,8278425
572,38873,2022-01-25,8317298
573,38200,2022-01-26,8355498
574,73945,2022-01-27,8429443
575,47276,2022-01-28,8476719
576,30165,2022-01-29,8506884
577,23057,2022-01-30,8529941
578,23185,2022-01-31,8553126
579,42284,2022-02-01,8595410
580,32810,2022-02-02,8628220
581,35613,2022-02-03,8663833
582,34208,2022-02-04,8698041
583,24613,2022-02-05,8722654
584,23890,2022-02-06,8746544
585,26031,2022-02-07,8772575
586,37846,2022-02-08,8810421
587,30651,2022-02-09,8841072
588,30059,2022-02-10,8871131
589,43203,2022-02-11,8914334
590,50244,2022-02-12,8964578
591,31190,2022-02-13,8995768
592,45175,2022-02-14,9040943
593,31815,2022-02-15,9072758
594,45570,2022-02-16,9118328
595,26613,2022-02-17,9144941
596,34551,2022-02-18,9179492
597,30960,2022-02-19,9210452
598,28426,2022-02-20,9238878
599,42147,2022-02-21,9281025
600,26287,2022-02-22,9307312
601,35964,2022-02-23,9343276
602,30431,2022-02-24,9373707
603,28490,2022-02-25,9402197
604,25852,2022-02-26,9428049
605,22428,2022-02-27,9450477
606,33022,2022-02-28,9483499
607,80765,2022-03-01,9564264
608,54179,2022-03-02,9618443
609,50011,2022-03-03,9668454
610,52080,2022-03-04,9720534
611,47159,2022-03-05,9767693
612,50392,2022-03-06,9818085
613,44110,2022-03-07,9862195
614,43151,2022-03-08,9905346
615,30212,2022-03-09,9935558
616,20235,2022-03-10,9955793
